Kronprinsessegade,66,1306
Prinsessegade,37,1422
Skindergade,33,1159
Århusgade,39,2100
Rosenvængets Allé,38,2100
Kildevældsgade,34,2100
Sejrøgade,11,2100
Stefansgade,43,2200
Ægirsgade,53,2200
Guldbergsgade,51,2200
Struenseegade,30,2200
Absalonsgade,26,1658
Mozartsvej,20,2450
Sønder Boulevard,72,1720
Trekronergade,48,2500
Nøddehaven,14,2500
Vigerslevvej,62,2500
Limfjordsvej,50,2720
Ålekistevej,109,2720
Elmelundevej,28,2700
Korsager Allé,32,2700
Ørnevej,57,2400
Hovmestervej,17,2400
Emdrupvej,122,2400
Holmbladsgade,93,2300
Wibrandtsvej,53,2300
Grækenlandsvej,12,2300
Sundholmsvej,55,2300
Sundbyvestervej,34,2300
Njalsgade,21,2300