Danneskiold-Samsøes Allé,41,1434,55.680538155828,12.6037197815902
Nørre Voldgade,56,1358,55.6820577837877,12.5704611697303
Strandgade,36,1401,55.6746537516726,12.5910722960965
Holmens Kanal,18,1060,55.6774558859942,12.5845974425978
Bredgade,65,1260,55.6864516275093,12.5918389699654
Sankt Peders Stræde,2,1453,55.679870803049,12.570862611742
Sundkrogsgade,7,2100,55.7102250385094,12.5928069484879
Dampfærgevej,29,2100,55.6994002178611,12.5949703297449
Østerbrogade,41,2100,55.7003799229605,12.5772081465991
Universitetsparken,2,2100,55.7028026833825,12.5613866756584
Nørre Allé,41,2200,55.6947790782764,12.5610434646087
Nørrebrogade,58,2200,55.6899917107253,12.5556693967876
Tagensvej,101,2200,55.7034163747071,12.5471585742071
Vesterbrogade,20,1620,55.6731121121025,12.5588792863872
Valby Langgade,68,2500,55.6662540484964,12.5137360161091
Gammel Køge Landevej,39,2500,55.6589883509109,12.5150578829606
Sallingvej,11,2720,55.6940248140349,12.5091472508974
Bispebjerg Bakke,21,2400,55.711816421815,12.541642859755
Tuborgvej,164,2400,55.7216971828607,12.543236519761
Amagerbrogade,41,2300,55.6642117330896,12.6009779991059
Øresundsvej,49,2300,55.6605292842964,12.6134727292807
Njalsgade,104,2300,55.6614798739102,12.587573985937
Kaj Munks Vej,3,2300,55.6586791992504,12.5912429891562
Ørestads Boulevard,88,2300,55.6300408608624,12.5791309668835
H. C. Andersens Boulevard,18,1553,55.67534,12.56802
Øster Farimagsgade,5,1353,55.68724418275476,12.570408582687378
A. C. Meyers Vænge,15,2450,55.65047,12.54293
Vesterbrogade,118,1620,55.671343910241966,12.544192671775818
Frederikssundsvej,154,2700,55.70461004233996,12.499748468399048
Amagerbrogade,141,230,55.65638,12.60950